stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.9248375,0.36725903,0.2162772,0.0016666666666666668,10100.0,0.2096852,-58.922573,101,0.03333333333333333,2020.0
0.9248218,0.36726132,0.21628039,0.0016666666666666668,10200.0,0.2096859,-60.420338,102,0.016666666666666666,2040.0
0.9248069,0.3672649,0.21628296,0.0016666666666666668,10300.0,0.20968683,-56.992657,103,0.029166666666666664,2060.0
0.9247921,0.36726865,0.21628536,0.0016666666666666668,10400.0,0.20968752,-55.0242,104,0.029166666666666664,2080.0
0.9247772,0.36727166,0.21628971,0.0025,10500.0,0.20968787,-59.556263,105,0.041666666666666664,2100.0
0.9247616,0.36727378,0.21629484,0.0016666666666666668,10600.0,0.20968764,-58.969906,106,0.02916666666666667,2120.0
0.9247455,0.3672761,0.2162985,0.0008333333333333334,10700.0,0.20968755,-58.67854,107,0.016666666666666666,2140.0
0.92472965,0.36727902,0.21630208,0.0,10800.0,0.20968765,-59.422787,108,0.008333333333333333,2160.0
0.9247146,0.36728224,0.21630669,0.0025,10900.0,0.20968826,-59.94917,109,0.0,2180.0
0.9246991,0.36728606,0.21630962,0.0016666666666666668,11000.0,0.2096889,-58.090897,110,0.016666666666666666,2200.0
0.9246842,0.36728892,0.21631362,0.0008333333333333334,11100.0,0.20968966,-60.927296,111,0.004166666666666667,2220.0
0.9246704,0.3672923,0.21631731,0.0016666666666666668,11200.0,0.20968987,-58.468822,112,0.020833333333333332,2240.0
0.92465574,0.36729518,0.21632127,0.0016666666666666668,11300.0,0.20969118,-59.34473,113,0.016666666666666666,2260.0
0.9246418,0.36729774,0.2163261,0.0008333333333333334,11400.0,0.20969258,-58.735443,114,0.025000000000000005,2280.0
0.9246282,0.36730018,0.21633089,0.0,11500.0,0.20969434,-57.16186,115,0.02916666666666667,2300.0
0.92461616,0.36730304,0.21633625,0.0025,11600.0,0.20969482,-57.24582,116,0.0,2320.0
0.9246047,0.36730614,0.21634217,0.0008333333333333334,11700.0,0.209696,-57.213306,117,0.008333333333333333,2340.0
0.9245906,0.3673087,0.21634813,0.0025,11800.0,0.20969687,-56.98406,118,0.020833333333333332,2360.0
0.92457896,0.36731133,0.2163543,0.0016666666666666668,11900.0,0.20969848,-56.813595,119,0.025000000000000005,2380.0
0.9245669,0.3673142,0.21635799,0.0008333333333333334,12000.0,0.20969896,-57.31923,120,0.024999999999999998,2400.0
0.92455536,0.36731672,0.21636467,0.0025,12100.0,0.20969997,-57.75527,121,0.012500000000000002,2420.0
0.92454386,0.36731866,0.2163707,0.0016666666666666668,12200.0,0.20970184,-56.191082,122,0.03333333333333333,2440.0
0.924532,0.36731902,0.21637718,0.0025,12300.0,0.20970266,-59.118286,123,0.020833333333333332,2460.0
0.92451984,0.3673208,0.2163815,0.0,12400.0,0.20970328,-59.192093,124,0.008333333333333333,2480.0
0.92450786,0.36732244,0.21638751,0.0008333333333333334,12500.0,0.2097035,-57.904316,125,0.012500000000000002,2500.0
0.924496,0.36732367,0.21639429,0.005,12600.0,0.20970376,-57.906048,126,0.004166666666666667,2520.0
0.9244836,0.3673245,0.21640073,0.0025,12700.0,0.20970513,-58.3714,127,0.004166666666666667,2540.0
0.9244707,0.36732736,0.21640562,0.0025,12800.0,0.20970698,-59.249985,128,0.004166666666666667,2560.0
0.924459,0.36732984,0.21641035,0.004166666666666667,12900.0,0.20970865,-58.805695,129,0.016666666666666666,2580.0
0.92444605,0.36733016,0.216417,0.0008333333333333334,13000.0,0.20970957,-56.530804,130,0.008333333333333333,2600.0
0.9244326,0.3673326,0.21641965,0.0016666666666666668,13100.0,0.20971137,-58.720005,131,0.025000000000000005,2620.0
0.9244206,0.3673338,0.21642387,0.0016666666666666668,13200.0,0.20971306,-57.83458,132,0.004166666666666667,2640.0
0.9244073,0.3673335,0.21643102,0.0025,13300.0,0.20971458,-58.60567,133,0.0375,2660.0
0.9243939,0.3673347,0.21643613,0.0008333333333333334,13400.0,0.20971532,-57.072266,134,0.004166666666666667,2680.0
0.9243808,0.36733556,0.21644163,0.0025,13500.0,0.20971692,-57.93871,135,0.025000000000000005,2700.0
0.92436796,0.36733618,0.21644711,0.0,13600.0,0.20971851,-59.588436,136,0.008333333333333333,2720.0
0.9243544,0.36733785,0.21645184,0.0,13700.0,0.2097202,-59.03523,137,0.008333333333333333,2740.0
0.9243398,0.3673389,0.21645655,0.0025,13800.0,0.20972137,-60.822155,138,0.016666666666666666,2760.0
0.9243272,0.36734197,0.21646534,0.0008333333333333334,13900.0,0.20972264,-58.050446,139,0.020833333333333332,2780.0
0.9243136,0.367344,0.21647106,0.0008333333333333334,14000.0,0.20972294,-57.995422,140,0.016666666666666666,2800.0
0.9243012,0.3673456,0.216478,0.0016666666666666668,14100.0,0.2097236,-59.4993,141,0.008333333333333333,2820.0
0.92428905,0.36734745,0.21648379,0.0008333333333333334,14200.0,0.20972349,-58.479145,142,0.020833333333333332,2840.0
0.92427653,0.36734846,0.21649067,0.005,14300.0,0.20972377,-58.520077,143,0.012500000000000002,2860.0
0.9242637,0.36734954,0.21649845,0.0016666666666666668,14400.0,0.20972545,-57.88295,144,0.004166666666666667,2880.0
0.9242546,0.36734986,0.21650743,0.0033333333333333335,14500.0,0.2097265,-57.452778,145,0.016666666666666666,2900.0
0.9242465,0.36734918,0.21651764,0.0008333333333333334,14600.0,0.20972736,-55.44435,146,0.016666666666666666,2920.0
0.9242384,0.36734787,0.21652813,0.0025,14700.0,0.20972745,-53.38605,147,0.02916666666666667,2940.0
0.9242315,0.36734495,0.21653838,0.0025,14800.0,0.20972802,-51.594692,148,0.012500000000000002,2960.0
0.9242285,0.36734393,0.21654749,0.0,14900.0,0.20972973,-48.8015,149,0.041666666666666664,2980.0
0.924227,0.36734274,0.21655627,0.0,15000.0,0.2097289,-50.005558,150,0.012500000000000002,3000.0
0.92422396,0.36734125,0.21656825,0.0033333333333333335,15100.0,0.20972769,-49.00346,151,0.008333333333333333,3020.0
0.9242222,0.36733994,0.21657749,0.0016666666666666668,15200.0,0.20972633,-47.28056,152,0.008333333333333333,3040.0
0.9242212,0.3673376,0.21658792,0.0,15300.0,0.20972478,-48.061523,153,0.016666666666666666,3060.0
0.92421955,0.3673357,0.21659835,0.0016666666666666668,15400.0,0.20972364,-47.957012,154,0.012500000000000002,3080.0
0.92421836,0.36733243,0.21660924,0.0016666666666666668,15500.0,0.20972323,-46.055347,155,0.004166666666666667,3100.0
0.92421603,0.36732957,0.21661957,0.0008333333333333334,15600.0,0.20972341,-47.082367,156,0.004166666666666667,3120.0
0.9242141,0.3673266,0.21663107,0.0,15700.0,0.20972301,-47.28567,157,0.004166666666666667,3140.0
0.9242118,0.3673242,0.21664111,0.0008333333333333334,15800.0,0.20972367,-46.617596,158,0.012500000000000002,3160.0
0.92421126,0.36732176,0.21664868,0.0,15900.0,0.20972367,-45.749454,159,0.016666666666666666,3180.0
0.9242079,0.36732087,0.21665724,0.0008333333333333334,16000.0,0.20972352,-45.766068,160,0.008333333333333333,3200.0
0.9242049,0.3673207,0.21666636,0.0,16100.0,0.20972376,-45.089428,161,0.012500000000000002,3220.0
0.92420214,0.36732152,0.21667422,0.0008333333333333334,16200.0,0.20972236,-44.30478,162,0.03333333333333333,3240.0
0.92419654,0.36732325,0.21667986,0.0,16300.0,0.20972192,-47.33923,163,0.008333333333333333,3260.0
0.9241918,0.36732528,0.21668614,0.0016666666666666668,16400.0,0.20972167,-47.289673,164,0.012500000000000002,3280.0
0.9241856,0.36732677,0.21669133,0.0008333333333333334,16500.0,0.20972049,-46.73885,165,0.012500000000000002,3300.0
0.92418045,0.36732826,0.21669574,0.0008333333333333334,16600.0,0.2097212,-47.195667,166,0.004166666666666667,3320.0
0.9241743,0.3673282,0.21670246,0.0008333333333333334,16700.0,0.20972161,-46.341496,167,0.008333333333333333,3340.0
0.92416817,0.3673269,0.21671046,0.0,16800.0,0.20972131,-48.615078,168,0.016666666666666666,3360.0
0.9241631,0.36732545,0.21671773,0.0016666666666666668,16900.0,0.20972173,-46.30769,169,0.008333333333333333,3380.0
0.9241558,0.36732492,0.21672432,0.0008333333333333334,17000.0,0.20972084,-45.370693,170,0.0,3400.0
0.9241495,0.36732444,0.21673216,0.0,17100.0,0.20971988,-46.403522,171,0.012500000000000002,3420.0
0.92414266,0.36732307,0.2167419,0.0008333333333333334,17200.0,0.20972033,-47.204823,172,0.0,3440.0
0.9241366,0.36732313,0.216749,0.0,17300.0,0.20971914,-45.349564,173,0.016666666666666666,3460.0
0.92412966,0.3673232,0.216758,0.0016666666666666668,17400.0,0.20971958,-47.353344,174,0.016666666666666666,3480.0
0.924124,0.36732295,0.21676742,0.0008333333333333334,17500.0,0.20972008,-46.052673,175,0.012500000000000002,3500.0
0.9241188,0.3673207,0.21677698,0.0,17600.0,0.20972054,-47.133575,176,0.012500000000000002,3520.0
